,name,followers,current_viewers,days,hours,minutes,test
8876,massansc,168436,6832,3,3,40,2015-06-03 03:40:00
8900,massansc,168451,7830,3,3,50,2015-06-03 03:50:00
8901,itshafu,313787,7789,3,3,50,2015-06-03 03:50:00
8925,massansc,168451,8869,3,4,0,2015-06-03 04:00:00
8926,itshafu,313787,7730,3,4,0,2015-06-03 04:00:00
8950,massansc,168451,9805,3,4,10,2015-06-03 04:10:00
8951,itshafu,313787,7449,3,4,10,2015-06-03 04:10:00
8975,massansc,168478,11343,3,4,30,2015-06-03 04:30:00
8976,itshafu,313846,7246,3,4,30,2015-06-03 04:30:00
9000,massansc,168478,11776,3,4,40,2015-06-03 04:40:00
9001,itshafu,313846,7235,3,4,40,2015-06-03 04:40:00
9025,massansc,168478,12370,3,4,50,2015-06-03 04:50:00
9026,itshafu,313846,7366,3,4,50,2015-06-03 04:50:00
9050,massansc,168478,13202,3,5,0,2015-06-03 05:00:00
9051,itshafu,313846,7090,3,5,0,2015-06-03 05:00:00
9075,massansc,168478,13192,3,5,10,2015-06-03 05:10:00
